------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
20MW blade geometry mapped to 10 nodes for coupling
======  Blade Properties =================================================================
        10   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)     (-)     (m)        (m)
0.0000000E+00 -3.8040000E-01 -1.3265700E+00  8.0000000E-04  1.6000000E+01  5.5200000E+00        1      0.0      0.0       0.0
1.3000000E+01 -3.2539000E-01 -1.1101700E+00  6.2755000E-01  1.4758000E+01  5.8590000E+00        8      0.0      0.0       0.0
2.8000000E+01 -2.4789000E-01 -4.8589000E-01 -2.5631000E-01  1.0617000E+01  5.9010000E+00       14      0.0      0.0       0.0
4.3000000E+01 -4.3640000E-01 -3.4042000E-01 -1.0161600E+00  7.0320000E+00  4.9710000E+00       20      0.0      0.0       0.0
5.8000000E+01 -8.2504000E-01 -2.5177000E-01 -1.8710400E+00  5.0850000E+00  4.0560000E+00       26      0.0      0.0       0.0
7.3000000E+01 -1.4521800E+00 -1.5963000E-01 -2.9692700E+00  3.3870000E+00  3.1640000E+00       32      0.0      0.0       0.0
8.8000000E+01 -2.3497700E+00 -1.2206000E-01 -3.8692100E+00  1.3040000E+00  2.4550000E+00       38      0.0      0.0       0.0
1.0300000E+02 -3.4564500E+00 -9.1220000E-02 -4.5646800E+00 -1.2360000E+00  1.8730000E+00       44      0.0      0.0       0.0
1.1800000E+02 -4.7950100E+00 -7.0900000E-02 -5.8396900E+00 -3.0190000E+00  1.4130000E+00       50      0.0      0.0       0.0
1.3100000E+02 -6.2517800E+00 -5.8600000E-03 -4.4984700E+00  4.8600000E-01  1.0000000E-01       58      0.0      0.0       0.0
