
Predictions were generated on 21-Aug-2026 at 11:05:06 using AeroDyn_driver, compiled on Jun 03 2026 at 10:12:24 as a 64-bit application using single precision at commit Unversioned from 02847314dfdc4069d70b8b493e37b12b810a11e2
 AeroDyn



 Time        Case        HWindSpeedX HWindSpeedY HWindSpeedZ ShearExp    PtfmSurge   PtfmSway    PtfmHeave   PtfmRoll    PtfmPitch   PtfmYaw     Yaw         Azimuth     RotSpeed    BldPitch1   BldPitch2   BldPitch3   RtAeroPwr   RtAeroFxh   RtAeroFyh   RtAeroFzh   RtAeroMxh   RtAeroMyh   RtAeroMzh   RtAeroFxi   RtAeroFyi   RtAeroFzi   RtAeroMxi   RtAeroMyi   RtAeroMzi   B1AeroFx    B1AeroFy    B1AeroFz    B1AeroMx    B1AeroMy    B1AeroMz    B2AeroFx    B2AeroFy    B2AeroFz    B2AeroMx    B2AeroMy    B2AeroMz    B3AeroFx    B3AeroFy    B3AeroFz    B3AeroMx    B3AeroMy    B3AeroMz    RtVAvgxh    RtFldCp     RtFldCt     RtArea      RtSpeed     RtTSR       TwN1Fby     TwN1Fbx     TwN1Fbz     TwN1Mby     TwN1Mbx     TwN1Mbz    
 (s)         (-)         (m/s)       (m/s)       (m/s)       (-)         (m)         (m)         (m)         (deg)       (deg)       (deg)       (deg)       (deg)       (rpm)       (deg)       (deg)       (deg)       (W)         (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (m/s)       (-)         (-)         (m^2)       (rpm)       (-)         INVALID     INVALID     INVALID     INVALID     INVALID     INVALID    
     0.0000  1.00000000E+00             1.19420128E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             2.60553589E+02             7.55999994E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.86492062E+05            -6.70839844E+01             1.79260962E+03             9.84146938E+05             4.08542625E+05            -3.64860234E+04             1.84926625E+05            -6.70839844E+01            -2.41795195E+04             9.69491438E+05             4.08542625E+05            -1.73097750E+05             6.61153750E+04            -8.67366602E+03             2.09109058E+03             3.03866188E+05             3.56199350E+06            -5.08753750E+04             5.98035117E+04            -7.83823096E+03             1.81704395E+03             2.82508938E+05             3.14872125E+06            -4.41674922E+04             6.11292227E+04            -9.25176367E+03             1.81877539E+03             3.28647688E+05             3.18241400E+06            -4.87155625E+04             1.17880936E+01             0.00000000E+00             3.94686349E-02             5.55155938E+04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0100  1.00000000E+00             1.19420128E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.86492062E+05            -6.70839844E+01             1.79260962E+03             9.84146875E+05             4.08542375E+05            -3.64855273E+04             1.84926625E+05            -6.70839844E+01            -2.41795195E+04             9.69491438E+05             4.08542375E+05            -1.73097250E+05             6.61153750E+04            -8.67366602E+03             2.09109058E+03             3.03866125E+05             3.56199300E+06            -5.08753789E+04             5.98035117E+04            -7.83823096E+03             1.81704382E+03             2.82508875E+05             3.14872100E+06            -4.41672070E+04             6.11292188E+04            -9.25176270E+03             1.81877576E+03             3.28647594E+05             3.18241350E+06            -4.87156289E+04             1.17880936E+01             0.00000000E+00             3.94686423E-02             5.55155820E+04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0200  1.00000000E+00             1.19420128E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -2.77315462E-06             2.85483293E-06             2.19709153E-04             5.94317783E-07             9.98755013E-07            -1.49755408E-08             0.00000000E+00             8.81150263E-05             7.34291913E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             7.75641785E+01             1.86640656E+05            -8.49682159E+01             1.74908508E+03             9.82365750E+05             4.05643188E+05            -3.56170625E+04             1.85067719E+05            -8.49707031E+01            -2.42433047E+04             9.67848625E+05             4.05643250E+05            -1.71988750E+05             6.61397500E+04            -8.67751855E+03             2.09133105E+03             3.03940062E+05             3.56279675E+06            -5.08922383E+04             5.98818242E+04            -7.84851904E+03             1.81930493E+03             2.82502781E+05             3.15274575E+06            -4.42799727E+04             6.11755820E+04            -9.21639062E+03             1.82098853E+03             3.26841500E+05             3.18562300E+06            -4.87184023E+04             1.17942839E+01             1.39035421E-06             3.94586362E-02             5.55155820E+04             7.53979199E-04             8.89915798E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0300  1.00000000E+00             1.19420147E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.35321307E-05             1.40674820E-05             1.04539783E-03             3.08882341E-06             5.10441623E-06            -7.46245377E-08             0.00000000E+00             1.34485133E-04             7.47139682E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             8.31174850E+01             1.86907828E+05            -1.13537170E+02             1.67964502E+03             9.79808438E+05             4.00459906E+05            -3.45339453E+04             1.85322625E+05            -1.13540039E+02            -2.43492656E+04             9.65466938E+05             4.00460000E+05            -1.70560000E+05             6.61828750E+04            -8.68575293E+03             2.09168115E+03             3.04176469E+05             3.56414325E+06            -5.09295898E+04             6.00189805E+04            -7.86614355E+03             1.82307800E+03             2.82434781E+05             3.15962350E+06            -4.44862852E+04             6.12632695E+04            -9.16212109E+03             1.82502698E+03             3.24168312E+05             3.19155400E+06            -4.87291680E+04             1.18050699E+01             1.48581830E-06             3.94429490E-02             5.55155820E+04             8.10070022E-04             9.55245807E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0400  1.00000000E+00             1.19420176E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -3.41228661E-05             3.58460493E-05             2.54056626E-03             8.43629005E-06             1.36442404E-05            -1.92547731E-07             0.00000000E+00             3.06816306E-04             1.27840135E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.42578186E+02             1.87096812E+05            -1.34278458E+02             1.62524500E+03             9.77730688E+05             3.96353062E+05            -3.35564102E+04             1.85502188E+05            -1.34284180E+02            -2.44294648E+04             9.63545625E+05             3.96353250E+05            -1.69301750E+05             6.62096172E+04            -8.69058594E+03             2.09178516E+03             3.04282531E+05             3.56486800E+06            -5.09500117E+04             6.01198398E+04            -7.88009131E+03             1.82596643E+03             2.82448375E+05             3.16478750E+06            -4.46346211E+04             6.13252070E+04            -9.11979590E+03             1.82796741E+03             3.22016219E+05             3.19582350E+06            -4.87348594E+04             1.18127699E+01             2.54376414E-06             3.94313708E-02             5.55155820E+04             1.39253214E-03             1.64102286E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0500  1.00000000E+00             1.19420252E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -6.36412369E-05             6.71594971E-05             4.50810697E-03             1.71121683E-05             2.70453220E-05            -3.64867390E-07             0.00000000E+00             6.32094016E-05             2.10697995E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             3.92577591E+01             1.87222016E+05            -1.45441864E+02             1.59634509E+03             9.76901125E+05             3.93439781E+05            -3.34136328E+04             1.85622141E+05            -1.45437500E+02            -2.44755508E+04             9.62743750E+05             3.93439875E+05            -1.69046750E+05             6.62251484E+04            -8.69510938E+03             2.09166309E+03             3.04458812E+05             3.56511900E+06            -5.09700273E+04             6.01842070E+04            -7.88824707E+03             1.82763159E+03             2.82370531E+05             3.16791600E+06            -4.47435977E+04             6.13708750E+04            -9.09928516E+03             1.83007800E+03             3.21098781E+05             3.19891900E+06            -4.87430195E+04             1.18176975E+01             6.99529210E-07             3.94248590E-02             5.55155820E+04             3.83748149E-04             4.52037581E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0600  1.00000000E+00             1.19420338E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.01742662E-04             1.06741878E-04             6.78163255E-03             2.95238970E-05             4.56329763E-05            -5.85198393E-07             0.00000000E+00             3.59999939E+02            -1.77547947E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             6.14642143E+00             1.87293141E+05            -1.52073547E+02             1.57636487E+03             9.76249250E+05             3.91326344E+05            -3.32566133E+04             1.85689797E+05            -1.52060547E+02            -2.45052969E+04             9.62119875E+05             3.91326375E+05            -1.68801750E+05             6.62296875E+04            -8.69692676E+03             2.09140723E+03             3.04519156E+05             3.56497950E+06            -5.09766250E+04             6.02239297E+04            -7.89364209E+03             1.82869958E+03             2.82346438E+05             3.16988650E+06            -4.48080859E+04             6.13979609E+04            -9.08501074E+03             1.83137537E+03             3.20423188E+05             3.20079800E+06            -4.87475117E+04             1.18205452E+01             1.09443199E-07             3.94208357E-02             5.55155820E+04             6.01219435E-05             7.08038060E-05             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0700  1.00000000E+00             1.19420452E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -1.48341118E-04             1.53546323E-04             9.25296824E-03             4.59415605E-05             6.95092967E-05            -8.48099376E-07             0.00000000E+00             3.59999603E+02            -8.94142024E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -6.01627464E+01             1.87339969E+05            -1.55607880E+02             1.56471350E+03             9.75961250E+05             3.89698875E+05            -3.33115664E+04             1.85734531E+05            -1.55580078E+02            -2.45234277E+04             9.61826625E+05             3.89698750E+05            -1.68818500E+05             6.62303984E+04            -8.69834375E+03             2.09110229E+03             3.04584312E+05             3.56470150E+06            -5.09816484E+04             6.02501992E+04            -7.89697949E+03             1.82936292E+03             2.82301906E+05             3.17114700E+06            -4.48556211E+04             6.14179375E+04            -9.07752637E+03             1.83231750E+03             3.20118094E+05             3.20217550E+06            -4.87510273E+04             1.18223944E+01            -1.07075550E-06             3.94183584E-02             5.55155820E+04            -5.88662631E-04            -6.93141890E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0800  1.00000000E+00             1.19420567E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -2.03325428E-04             2.07266523E-04             1.18996343E-02             6.64817853E-05             9.86468949E-05            -1.15314231E-06             0.00000000E+00             3.59999756E+02            -5.12853207E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -1.41847610E+01             1.87392531E+05            -1.61478470E+02             1.54456836E+03             9.75147938E+05             3.87801719E+05            -3.29570312E+04             1.85783766E+05            -1.61447266E+02            -2.45507871E+04             9.61070688E+05             3.87801750E+05            -1.68353500E+05             6.62308125E+04            -8.69858594E+03             2.09081372E+03             3.04558281E+05             3.56443250E+06            -5.09801211E+04             6.02831602E+04            -7.90208008E+03             1.83034778E+03             2.82332812E+05             3.17287475E+06            -4.49028477E+04             6.14372852E+04            -9.06239355E+03             1.83330847E+03             3.19320188E+05             3.20357800E+06            -4.87526055E+04             1.18246098E+01            -2.52313527E-07             3.94146442E-02             5.55155820E+04            -1.38906602E-04            -1.63529912E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0900  1.00000000E+00             1.19420700E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02            -2.66879011E-04             2.68295873E-04             1.47925625E-02             9.10715244E-05             1.33105219E-04            -1.50593144E-06             0.00000000E+00             8.23447190E-05             1.52490218E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             6.03608932E+01             1.87486141E+05            -1.71556442E+02             1.51252356E+03             9.73883375E+05             3.85108219E+05            -3.23526328E+04             1.85871984E+05            -1.71524414E+02            -2.45956602E+04             9.59902750E+05             3.85108500E+05            -1.67577250E+05             6.62378984E+04            -8.69977051E+03             2.09061377E+03             3.04545875E+05             3.56439975E+06            -5.09827383E+04             6.03376172E+04            -7.91057910E+03             1.83198022E+03             2.82395812E+05             3.17572975E+06            -4.49779531E+04             6.14696250E+04            -9.03817578E+03             1.83490381E+03             3.18034875E+05             3.20586875E+06            -4.87529180E+04             1.18284454E+01             1.07263429E-06             3.94087657E-02             5.55155820E+04             5.91861492E-04             6.96551928E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
