
Predictions were generated on 20-Aug-2026 at 20:12:08 using AeroDyn_driver, compiled on Jul 29 2026 at 22:07:45 as a 64-bit application using single precision at commit c808d7f8-dirty
 AeroDyn



 Time        Case        HWindSpeedX HWindSpeedY HWindSpeedZ ShearExp    PtfmSurge   PtfmSway    PtfmHeave   PtfmRoll    PtfmPitch   PtfmYaw     Yaw         Azimuth     RotSpeed    BldPitch1   BldPitch2   BldPitch3   RtAeroPwr   RtAeroFxh   RtAeroFyh   RtAeroFzh   RtAeroMxh   RtAeroMyh   RtAeroMzh   RtAeroFxi   RtAeroFyi   RtAeroFzi   RtAeroMxi   RtAeroMyi   RtAeroMzi   B1AeroFx    B1AeroFy    B1AeroFz    B1AeroMx    B1AeroMy    B1AeroMz    B2AeroFx    B2AeroFy    B2AeroFz    B2AeroMx    B2AeroMy    B2AeroMz    B3AeroFx    B3AeroFy    B3AeroFz    B3AeroMx    B3AeroMy    B3AeroMz    RtVAvgxh    RtFldCp     RtFldCt     RtArea      RtSpeed     RtTSR       TwN1Fby     TwN1Fbx     TwN1Fbz     TwN1Mby     TwN1Mbx     TwN1Mbz    
 (s)         (-)         (m/s)       (m/s)       (m/s)       (-)         (m)         (m)         (m)         (deg)       (deg)       (deg)       (deg)       (deg)       (rpm)       (deg)       (deg)       (deg)       (W)         (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (N)         (N)         (N)         (N-m)       (N-m)       (N-m)       (m/s)       (-)         (-)         (m^2)       (rpm)       (-)         INVALID     INVALID     INVALID     INVALID     INVALID     INVALID    
     0.0000  1.00000000E+00             1.19487324E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             2.60553589E+02             7.55999994E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.86762453E+05            -5.13437500E+01             1.77814355E+03             9.85547875E+05             3.96580125E+05            -3.63797617E+04             1.85192375E+05            -5.13437500E+01            -2.42314766E+04             9.70893562E+05             3.96580125E+05            -1.73187500E+05             6.60969141E+04            -8.67433887E+03             2.08920752E+03             3.03817750E+05             3.55971575E+06            -5.08641797E+04             5.99483164E+04            -7.85348682E+03             1.82317346E+03             2.83125281E+05             3.15802475E+06            -4.42688125E+04             6.12741797E+04            -9.26939941E+03             1.82485876E+03             3.29390406E+05             3.19168150E+06            -4.88228438E+04             1.17982321E+01             0.00000000E+00             3.94579582E-02             5.55155938E+04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0100  1.00000000E+00             1.19487324E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.86762453E+05            -5.13447266E+01             1.77814355E+03             9.85547625E+05             3.96580250E+05            -3.63795469E+04             1.85192375E+05            -5.13447266E+01            -2.42314766E+04             9.70893312E+05             3.96580250E+05            -1.73187250E+05             6.60969141E+04            -8.67433887E+03             2.08920752E+03             3.03817688E+05             3.55971550E+06            -5.08641758E+04             5.99483164E+04            -7.85348682E+03             1.82317310E+03             2.83125125E+05             3.15802450E+06            -4.42687383E+04             6.12741797E+04            -9.26939941E+03             1.82485803E+03             3.29390375E+05             3.19168150E+06            -4.88226641E+04             1.17982321E+01             0.00000000E+00             3.94579694E-02             5.55155820E+04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0200  1.00000000E+00             1.19487324E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             7.41162648E-06             5.18169031E-07            -8.22186339E-05            -6.44389502E-07             5.28561759E-06             1.36465701E-06             0.00000000E+00             6.61809245E-05             7.35343667E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             7.57962570E+01             1.86560578E+05            -3.11187000E+01             1.76909729E+03             9.85029562E+05             3.84598875E+05            -3.64535781E+04             1.84991172E+05            -3.11240234E+01            -2.42125156E+04             9.70369875E+05             3.84598875E+05            -1.73189250E+05             6.59212578E+04            -8.65518652E+03             2.08176392E+03             3.03019406E+05             3.54840200E+06            -5.07314102E+04             5.99308555E+04            -7.84996240E+03             1.82377832E+03             2.83214688E+05             3.15819925E+06            -4.42250547E+04             6.12648047E+04            -9.27446973E+03             1.82538708E+03             3.29632469E+05             3.19199025E+06            -4.88234727E+04             1.17916136E+01             1.35958715E-06             3.94595750E-02             5.55155820E+04             7.34801230E-04             8.67476570E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0300  1.00000000E+00             1.19487314E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             3.10124560E-05             2.02761794E-06            -3.22288688E-04            -5.25004634E-06             2.64413793E-05             8.19113557E-05             0.00000000E+00             1.11499299E-04             7.48651975E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             7.36424713E+01             1.86257750E+05             9.16046524E+00             1.74366370E+03             9.84178312E+05             3.57663656E+05            -3.79512617E+04             1.84687656E+05             9.16796875E+00            -2.41962969E+04             9.69317750E+05             3.57663750E+05            -1.74557500E+05             6.55766016E+04            -8.62037793E+03             2.06645728E+03             3.01587438E+05             3.52552900E+06            -5.04802891E+04             5.99362422E+04            -7.84630859E+03             1.82594128E+03             2.83287812E+05             3.16043300E+06            -4.42067305E+04             6.13003164E+04            -9.28432715E+03             1.82871008E+03             3.30221250E+05             3.19606250E+06            -4.88530000E+04             1.17820320E+01             1.32417915E-06             3.94596234E-02             5.55155820E+04             7.14538968E-04             8.44241760E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0400  1.00000000E+00             1.19487305E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             6.33377786E-05             2.37525114E-06            -6.29120448E-04            -1.60113686E-05             5.72124372E-05             2.48755416E-04             0.00000000E+00             2.04371114E-04             1.28145993E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.22069809E+02             1.86270859E+05             3.03744354E+01             1.72027332E+03             9.83946812E+05             3.41493188E+05            -4.07287852E+04             1.84697203E+05             3.04580078E+01            -2.42226348E+04             9.68700562E+05             3.41493750E+05            -1.77282500E+05             6.54355430E+04            -8.60810156E+03             2.05931177E+03             3.01000562E+05             3.51530500E+06            -5.03789531E+04             5.99916328E+04            -7.85196777E+03             1.82849353E+03             2.83526719E+05             3.16419750E+06            -4.42445547E+04             6.13991367E+04            -9.28865918E+03             1.83354321E+03             3.30342656E+05             3.20305775E+06            -4.89220977E+04             1.17828016E+01             2.19453023E-06             3.94572467E-02             5.55155820E+04             1.18469901E-03             1.39965361E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0500  1.00000000E+00             1.19487286E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             9.54869611E-05            -1.19167839E-06            -9.26105888E-04            -3.06179936E-05             8.31611396E-05             4.17369767E-04             0.00000000E+00             1.85107434E-04             2.13112318E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.52539473E+01             1.86344891E+05             1.92665920E+01             1.73599670E+03             9.84743438E+05             3.49828125E+05            -3.91888047E+04             1.84772516E+05             1.94521484E+01            -2.42188320E+04             9.69702250E+05             3.49829250E+05            -1.75875750E+05             6.55353555E+04            -8.61927246E+03             2.06375049E+03             3.01502531E+05             3.52193875E+06            -5.04579258E+04             5.99910742E+04            -7.85175439E+03             1.82799500E+03             2.83468969E+05             3.16370550E+06            -4.42543750E+04             6.13741328E+04            -9.29338184E+03             1.83179224E+03             3.30653938E+05             3.20077700E+06            -4.89068594E+04             1.17849255E+01             2.74082112E-07             3.94587032E-02             5.55155820E+04             1.47921237E-04             1.74728921E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0600  1.00000000E+00             1.19487276E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             1.28212152E-04            -8.51843834E-06            -1.22306123E-03            -4.73813343E-05             1.03105958E-04             5.86179667E-04             0.00000000E+00             1.63087883E-04            -1.73624125E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -1.80676327E+01             1.86385641E+05            -3.10994196E+00             1.75639661E+03             9.85118438E+05             3.65538125E+05            -3.62405391E+04             1.84815562E+05            -2.87792969E+00            -2.42054336E+04             9.70482812E+05             3.65539500E+05            -1.73014250E+05             6.56907109E+04            -8.63392285E+03             2.07124829E+03             3.02157188E+05             3.53283450E+06            -5.05712812E+04             5.99572305E+04            -7.84892480E+03             1.82617065E+03             2.83333438E+05             3.16114325E+06            -4.42309648E+04             6.12935039E+04            -9.28913379E+03             1.82757861E+03             3.30490250E+05             3.19480000E+06            -4.88506250E+04             1.17859116E+01            -3.24556794E-07             3.94607261E-02             5.55155820E+04            -1.75139518E-04            -2.06862664E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0700  1.00000000E+00             1.19487267E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             1.62082113E-04            -1.88100094E-05            -1.52159331E-03            -6.58083227E-05             1.17440548E-04             7.56820024E-04             0.00000000E+00             8.81619126E-05            -8.90385592E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -8.83446503E+01             1.86449750E+05            -1.85725937E+01             1.77493311E+03             9.85747125E+05             3.77275375E+05            -3.45645977E+04             1.84881531E+05            -1.83554688E+01            -2.41967520E+04             9.71337938E+05             3.77276625E+05            -1.71446250E+05             6.58179062E+04            -8.64684473E+03             2.07716138E+03             3.02734156E+05             3.54153775E+06            -5.06671250E+04             5.99391094E+04            -7.84740918E+03             1.82492517E+03             2.83234531E+05             3.15951225E+06            -4.42240938E+04             6.12487266E+04            -9.29037891E+03             1.82494775E+03             3.30607500E+05             3.19120300E+06            -4.88201406E+04             1.17876701E+01            -1.58626358E-06             3.94625254E-02             5.55155820E+04            -8.55827238E-04            -1.01069303E-03             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0800  1.00000000E+00             1.19487247E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             1.97304558E-04            -3.17886261E-05            -1.82168419E-03            -8.54254540E-05             1.26041981E-04             9.27531742E-04             0.00000000E+00             6.92599642E-05            -5.06816898E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00            -5.17023964E+01             1.86483016E+05            -2.02933044E+01             1.77951794E+03             9.85813938E+05             3.80338125E+05            -3.59844844E+04             1.84915031E+05            -2.00937500E+01            -2.41973867E+04             9.71205938E+05             3.80339250E+05            -1.72864750E+05             6.58567656E+04            -8.65030371E+03             2.07892700E+03             3.02863656E+05             3.54415200E+06            -5.06932109E+04             5.99251211E+04            -7.84700928E+03             1.82408118E+03             2.83219125E+05             3.15836500E+06            -4.42103398E+04             6.12572227E+04            -9.29036914E+03             1.82517334E+03             3.30552000E+05             3.19161650E+06            -4.88266758E+04             1.17886887E+01            -9.28096597E-07             3.94627452E-02             5.55155820E+04            -5.00826281E-04            -5.91401884E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
     0.0900  1.00000000E+00             1.19487228E+01             0.00000000E+00             0.00000000E+00             5.99999987E-02             2.34259627E-04            -4.70592895E-05            -2.12354423E-03            -1.06283915E-04             1.29575696E-04             1.09942304E-03             0.00000000E+00             9.87155072E-05             1.58344905E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             1.09459352E+01             1.86520922E+05            -1.15648899E+01             1.77389343E+03             9.85796875E+05             3.75895312E+05            -3.87573281E+04             1.84951719E+05            -1.13300781E+01            -2.42087988E+04             9.70802438E+05             3.75896625E+05            -1.75611250E+05             6.58295625E+04            -8.64785156E+03             2.07735986E+03             3.02713094E+05             3.54199325E+06            -5.06712422E+04             5.99356758E+04            -7.84915234E+03             1.82438696E+03             2.83317844E+05             3.15890225E+06            -4.42122344E+04             6.13119023E+04            -9.29303809E+03             1.82764050E+03             3.30580125E+05             3.19528425E+06            -4.88670859E+04             1.17900076E+01             1.96421766E-07             3.94619368E-02             5.55155820E+04             1.06031963E-04             1.25194085E-04             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00             0.00000000E+00
