
Predictions were generated on 21-Aug-2026 at 11:05:31 using HydroDyn Driver, compiled on Jul 05 2026 at 14:20:01 as a 64-bit application using single precision at commit Unversioned from 02847314dfdc4069d70b8b493e37b12b810a11e2
 linked with  NWTC Subroutine Library

Description from the driver input file: File for NRELOffshrBsline5MW_OC4DeepCwindSemi_HydroDyn

Time	Wave1Elev	Wave1Elv1	Wave1Elv2	PRPSurge	PRPSway	PRPHeave	PRPRoll	PRPPitch	PRPYaw	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	PRPTVxi	PRPTVyi	PRPTVzi	PRPRVxi	PRPRVyi	PRPRVzi	PRPTAxi	PRPTAyi	PRPTAzi	PRPRAxi	PRPRAyi	PRPRAzi	B1WvsFxi	B1HdSFxi	B1RdtFxi	B2WvsFxi	B2HdSFxi	B2RdtFxi	B3WvsFxi	B3HdSFxi	B3RdtFxi	B4WvsFxi	B4HdSFxi	B4RdtFxi	B5WvsFxi	B5HdSFxi	B5RdtFxi
(s)	(m)	(m)	(m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)
    0.0000	  -8.624457E-01	  -8.624457E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -3.804996E+06	   3.846237E+06	   2.370778E+08	  -3.678486E+07	  -6.342092E+07	  -7.822356E+05	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -6.650664E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0100	  -8.549612E-01	  -8.549612E-01	   0.000000E+00	  -2.773155E-06	   2.854833E-06	   2.197092E-04	   1.037280E-08	   1.743156E-08	  -2.613725E-10	  -3.837997E+06	   3.863034E+06	   2.370797E+08	  -3.629347E+07	  -6.289510E+07	  -7.750813E+05	  -5.546309E-04	   5.709666E-04	   4.394183E-02	   2.074561E-06	   3.486313E-06	  -5.227454E-08	  -1.109262E-01	   1.141933E-01	   8.788366E+00	   4.149121E-04	   6.972625E-04	  -1.045492E-05	  -6.680914E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0200	  -8.474767E-01	  -8.474767E-01	   0.000000E+00	  -1.353213E-05	   1.406748E-05	   1.045398E-03	   5.391014E-08	   8.908888E-08	  -1.302444E-09	  -3.864288E+06	   3.879067E+06	   2.370448E+08	  -3.580048E+07	  -6.260150E+07	  -7.718287E+05	  -1.597164E-03	   1.671563E-03	   1.211959E-01	   6.632907E-06	   1.084515E-05	  -1.559404E-07	  -9.758049E-02	   1.059260E-01	   6.662448E+00	   4.967572E-04	   7.745051E-04	  -1.027827E-05	  -6.711169E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0300	  -8.399921E-01	  -8.399921E-01	   0.000000E+00	  -3.412287E-05	   3.584605E-05	   2.540566E-03	   1.472411E-07	   2.381369E-07	  -3.360592E-09	  -3.892230E+06	   3.895216E+06	   2.370242E+08	  -3.531099E+07	  -6.221141E+07	  -7.690973E+05	  -2.520983E-03	   2.684150E-03	   1.778378E-01	   1.203327E-05	   1.896446E-05	  -2.556927E-07	  -8.718320E-02	   9.659147E-02	   4.665930E+00	   5.833161E-04	   8.493565E-04	  -9.672226E-06	  -6.741422E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0400	  -8.325076E-01	  -8.325076E-01	   0.000000E+00	  -6.364124E-05	   6.715950E-05	   4.508107E-03	   2.986637E-07	   4.720299E-07	  -6.368138E-09	  -3.922762E+06	   3.911540E+06	   2.370181E+08	  -3.482452E+07	  -6.171282E+07	  -7.665946E+05	  -3.382691E-03	   3.578539E-03	   2.156704E-01	   1.825126E-05	   2.781414E-05	  -3.458279E-07	  -8.515855E-02	   8.228634E-02	   2.900585E+00	   6.602809E-04	   9.205802E-04	  -8.354853E-06	  -6.771680E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0500	  -8.250231E-01	  -8.250231E-01	   0.000000E+00	  -1.017427E-04	   1.067419E-04	   6.781633E-03	   5.152892E-07	   7.964457E-07	  -1.021364E-08	  -3.955722E+06	   3.928064E+06	   2.370238E+08	  -3.434034E+07	  -6.112188E+07	  -7.637892E+05	  -4.237594E-03	   4.337936E-03	   2.390347E-01	   2.507384E-05	   3.706901E-05	  -4.233008E-07	  -8.582189E-02	   6.959292E-02	   1.772291E+00	   7.042356E-04	   9.303943E-04	  -7.139768E-06	  -6.801938E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0600	  -8.175386E-01	  -8.175386E-01	   0.000000E+00	  -1.483411E-04	   1.535463E-04	   9.252968E-03	   8.018316E-07	   1.213166E-06	  -1.480213E-08	  -3.990010E+06	   3.944700E+06	   2.370351E+08	  -3.385732E+07	  -6.048371E+07	  -7.607160E+05	  -5.082098E-03	   5.022953E-03	   2.552325E-01	   3.223462E-05	   4.627506E-05	  -4.944561E-07	  -8.307892E-02	   6.741062E-02	   1.467249E+00	   7.279209E-04	   9.108154E-04	  -7.091318E-06	  -6.832198E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0700	  -8.100541E-01	  -8.100541E-01	   0.000000E+00	  -2.033254E-04	   2.072665E-04	   1.189963E-02	   1.160326E-06	   1.721713E-06	  -2.012613E-08	  -4.023712E+06	   3.961308E+06	   2.370424E+08	  -3.337418E+07	  -5.986907E+07	  -7.576076E+05	  -5.914763E-03	   5.721088E-03	   2.741007E-01	   3.946428E-05	   5.543436E-05	  -5.704518E-07	  -8.345417E-02	   7.221621E-02	   2.306407E+00	   7.180105E-04	   9.210440E-04	  -8.107861E-06	  -6.862460E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
    0.0800	  -8.025697E-01	  -8.025697E-01	   0.000000E+00	  -2.668790E-04	   2.682959E-04	   1.479256E-02	   1.589498E-06	   2.323124E-06	  -2.628346E-08	  -4.054635E+06	   3.977795E+06	   2.370363E+08	  -3.288979E+07	  -5.934751E+07	  -7.542536E+05	  -6.795953E-03	   6.484779E-03	   3.044849E-01	   4.637012E-05	   6.484787E-05	  -6.611902E-07	  -9.278380E-02	   8.052209E-02	   3.770428E+00	   6.631581E-04	   9.616580E-04	  -1.003984E-05	  -6.892722E+06	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00
