
Predictions were generated on 20-Aug-2026 at 20:12:23 using HydroDyn Driver, compiled on Jul 05 2026 at 14:20:01 as a 64-bit application using single precision at commit Unversioned from 02847314dfdc4069d70b8b493e37b12b810a11e2
 linked with  NWTC Subroutine Library

Description from the driver input file: File for NRELOffshrBsline5MW_OC4DeepCwindSemi_HydroDyn

Time	Wave1Elev	Wave1Elv1	Wave1Elv2	PRPSurge	PRPSway	PRPHeave	PRPRoll	PRPPitch	PRPYaw	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	PRPTVxi	PRPTVyi	PRPTVzi	PRPRVxi	PRPRVyi	PRPRVzi	PRPTAxi	PRPTAyi	PRPTAzi	PRPRAxi	PRPRAyi	PRPRAzi	B1WvsFxi	B1HdSFxi	B1RdtFxi	B2WvsFxi	B2HdSFxi	B2RdtFxi	B3WvsFxi	B3HdSFxi	B3RdtFxi	B4WvsFxi	B4HdSFxi	B4RdtFxi	B5WvsFxi	B5HdSFxi	B5RdtFxi
(s)	(m)	(m)	(m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)	(N)
    0.0000	  -8.624457E-01	  -8.624457E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   3.520534E+06	  -9.005825E+05	   2.779496E+08	  -1.533736E+07	  -8.819139E+07	   4.566890E+07	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   1.290389E+06	   0.000000E+00	   0.000000E+00	   9.553735E+05	   0.000000E+00	   0.000000E+00	   6.942434E+05	   0.000000E+00	   0.000000E+00	  -4.817784E+06	   0.000000E+00	   0.000000E+00	   8.207973E+04	   0.000000E+00	   0.000000E+00
    0.0100	  -8.549612E-01	  -8.549612E-01	   0.000000E+00	   5.576068E-06	   2.988476E-07	  -8.148526E-05	  -1.234359E-08	   1.147682E-07	   2.115149E-08	   3.537934E+06	  -9.051575E+05	   2.780068E+08	  -1.540446E+07	  -8.930295E+07	   4.578065E+07	   1.115214E-03	   5.976952E-05	  -1.629705E-02	  -2.468718E-06	   2.295364E-05	   4.230298E-06	   2.230427E-01	   1.195390E-02	  -3.259410E+00	  -4.937436E-04	   4.590729E-03	   8.460595E-04	   1.290075E+06	   0.000000E+00	   0.000000E+00	   9.620836E+05	   0.000000E+00	   0.000000E+00	   7.044809E+05	   0.000000E+00	   0.000000E+00	  -4.811020E+06	   0.000000E+00	   0.000000E+00	   8.690286E+04	   0.000000E+00	   0.000000E+00
    0.0200	  -8.474767E-01	  -8.474767E-01	   0.000000E+00	   2.186472E-05	   2.795271E-07	  -3.192636E-04	  -9.976511E-08	   5.713607E-07	   1.552044E-06	   3.557529E+06	  -9.055882E+05	   2.780617E+08	  -1.539604E+07	  -9.047406E+07	   4.388305E+07	   2.142516E-03	  -6.363363E-05	  -3.125862E-02	  -1.501569E-05	   6.836484E-05	   3.019483E-04	  -1.758219E-02	  -3.663453E-02	   2.670961E-01	  -2.015658E-03	   4.491507E-03	   5.869754E-02	   1.289761E+06	   0.000000E+00	   0.000000E+00	   9.687924E+05	   0.000000E+00	   0.000000E+00	   7.147151E+05	   0.000000E+00	   0.000000E+00	  -4.804256E+06	   0.000000E+00	   0.000000E+00	   9.172562E+04	   0.000000E+00	   0.000000E+00
    0.0300	  -8.399921E-01	  -8.399921E-01	   0.000000E+00	   4.359503E-05	  -2.875856E-06	  -6.227725E-04	  -2.989904E-07	   1.234085E-06	   4.729956E-06	   3.577796E+06	  -9.082626E+05	   2.780654E+08	  -1.542118E+07	  -9.137682E+07	   4.380288E+07	   2.203546E-03	  -5.674429E-04	  -2.944314E-02	  -2.482978E-05	   6.417983E-05	   3.336340E-04	   2.978824E-02	  -6.412732E-02	   9.599959E-02	   5.285676E-05	  -5.328506E-03	  -5.236040E-02	   1.289447E+06	   0.000000E+00	   0.000000E+00	   9.755017E+05	   0.000000E+00	   0.000000E+00	   7.249469E+05	   0.000000E+00	   0.000000E+00	  -4.797492E+06	   0.000000E+00	   0.000000E+00	   9.654772E+04	   0.000000E+00	   0.000000E+00
    0.0400	  -8.325076E-01	  -8.325076E-01	   0.000000E+00	   6.675516E-05	  -1.113893E-05	  -9.161833E-04	  -5.645402E-07	   1.805653E-06	   7.936022E-06	   3.596679E+06	  -9.117811E+05	   2.780738E+08	  -1.546878E+07	  -9.225742E+07	   4.411799E+07	   2.428481E-03	  -1.085173E-03	  -2.923901E-02	  -2.828087E-05	   5.013351E-05	   3.075792E-04	   1.519864E-02	  -3.941862E-02	  -5.517287E-02	  -7.430883E-04	   2.519240E-03	   4.714945E-02	   1.289133E+06	   0.000000E+00	   0.000000E+00	   9.822090E+05	   0.000000E+00	   0.000000E+00	   7.351769E+05	   0.000000E+00	   0.000000E+00	  -4.790728E+06	   0.000000E+00	   0.000000E+00	   1.013702E+05	   0.000000E+00	   0.000000E+00
    0.0500	  -8.250231E-01	  -8.250231E-01	   0.000000E+00	   9.242023E-05	  -2.383879E-05	  -1.209540E-03	  -8.681478E-07	   2.269266E-06	   1.114210E-05	   3.615832E+06	  -9.150293E+05	   2.780835E+08	  -1.551010E+07	  -9.315914E+07	   4.407932E+07	   2.704532E-03	  -1.454799E-03	  -2.943230E-02	  -3.244151E-05	   4.258840E-05	   3.336374E-04	   4.001167E-02	  -3.450672E-02	   1.651592E-02	  -8.902830E-05	  -4.028260E-03	  -4.193781E-02	   1.288819E+06	   0.000000E+00	   0.000000E+00	   9.889178E+05	   0.000000E+00	   0.000000E+00	   7.454054E+05	   0.000000E+00	   0.000000E+00	  -4.783962E+06	   0.000000E+00	   0.000000E+00	   1.061923E+05	   0.000000E+00	   0.000000E+00
    0.0600	  -8.175386E-01	  -8.175386E-01	   0.000000E+00	   1.210042E-04	  -4.002883E-05	  -1.504531E-03	  -1.201417E-06	   2.635425E-06	   1.438044E-05	   3.634524E+06	  -9.189860E+05	   2.780930E+08	  -1.556569E+07	  -9.404447E+07	   4.435230E+07	   3.012258E-03	  -1.783208E-03	  -2.956588E-02	  -3.421334E-05	   3.064269E-05	   3.140307E-04	   2.153352E-02	  -3.117508E-02	  -4.323235E-02	  -2.653465E-04	   1.639118E-03	   3.801645E-02	   1.288505E+06	   0.000000E+00	   0.000000E+00	   9.956244E+05	   0.000000E+00	   0.000000E+00	   7.556315E+05	   0.000000E+00	   0.000000E+00	  -4.777198E+06	   0.000000E+00	   0.000000E+00	   1.110144E+05	   0.000000E+00	   0.000000E+00
    0.0700	  -8.100541E-01	  -8.100541E-01	   0.000000E+00	   1.527639E-04	  -5.928138E-05	  -1.801160E-03	  -1.555955E-06	   2.900895E-06	   1.761756E-05	   3.653428E+06	  -9.225755E+05	   2.781026E+08	  -1.561409E+07	  -9.494048E+07	   4.436082E+07	   3.339680E-03	  -2.067302E-03	  -2.975990E-02	  -3.669503E-05	   2.245003E-05	   3.333926E-04	   4.395089E-02	  -2.564370E-02	   4.428236E-03	  -2.309840E-04	  -3.277649E-03	  -3.414407E-02	   1.288191E+06	   0.000000E+00	   0.000000E+00	   1.002332E+06	   0.000000E+00	   0.000000E+00	   7.658569E+05	   0.000000E+00	   0.000000E+00	  -4.770433E+06	   0.000000E+00	   0.000000E+00	   1.158362E+05	   0.000000E+00	   0.000000E+00
    0.0800	  -8.025697E-01	  -8.025697E-01	   0.000000E+00	   1.878933E-04	  -8.122152E-05	  -2.099640E-03	  -1.932853E-06	   3.074674E-06	   2.087399E-05	   3.672103E+06	  -9.266608E+05	   2.781122E+08	  -1.566926E+07	  -9.582874E+07	   4.460607E+07	   3.686206E-03	  -2.320725E-03	  -2.993630E-02	  -3.868523E-05	   1.230433E-05	   3.178942E-04	   2.535418E-02	  -2.504090E-02	  -3.970729E-02	  -1.670628E-04	   1.248509E-03	   3.104440E-02	   1.287877E+06	   0.000000E+00	   0.000000E+00	   1.009040E+06	   0.000000E+00	   0.000000E+00	   7.760806E+05	   0.000000E+00	   0.000000E+00	  -4.763667E+06	   0.000000E+00	   0.000000E+00	   1.206581E+05	   0.000000E+00	   0.000000E+00
